1,New Year's Day,New Year’s Day (Anul Nou) and the following day, on January 1 and 2 respectively, are annual holidays in Romania.,2021-01-01
2,Day after New Year's Day,Both New Year’s Day (Anul Nou) and the following day, on January 1 and 2 respectively, are annual holidays in Romania.,2021-01-02
3,Unification Day,Unification Day celebrates the political union between Wallachia and Moldavia, which is deemed as the foundation of modern Romania.,2021-01-24
4,Constantin Brancusi Day,null,2021-02-19
5,Dragobete,Dragobete is a folk holiday in Romania with ancient origins that centers on love and the return of spring.,2021-02-24
6,Mărțișor,Mărțișor in Romania celebrates the start of spring. The name stems from the word March, which is “martie” in Romanian.,2021-03-01
7,International Women's Day,Many people in Romania celebrate Women’s Day on March 8.,2021-03-08
8,Orthodox Good Friday,Millions of Orthodox Christians around the world annually observe Good Friday to commemorate the events leading up to Jesus Christ's crucifixion.,2021-04-30
9,Labor Day / May Day,Labor Day (Ziua muncii) is a national public holiday in Romania on May 1 each year.,2021-05-01
10,Orthodox Easter Day,Easter (Paștele) is both a religious and a national holiday in Romania. The Easter date is based on the Orthodox Christian Church’s calendar.,2021-05-02
11,Mother's Day,Many Romanians celebrate Mother’s Day (Ziua Mamei) on the first Sunday of May.,2021-05-02
12,Orthodox Easter Monday,The Day after Easter (Paștele) is both a religious and a national holiday in Romania. The Easter date is based on the Orthodox Christian Church’s calendar.,2021-05-03
13,Father's Day,Many Romanians celebrate Father’s Day (Ziua Tatălui) on the second Sunday of May.,2021-05-09
14,Monarchy Day,null,2021-05-10
15,Children's Day,Children’s Day (Ziua Copilului) is annually celebrated on June 1 in Romania.,2021-06-01
16,Orthodox Ascension Day,Ascension Day (Înălțarea) is an annual observance in Romania to commemorate the Christian belief of Jesus Christ’s ascension into heaven.,2021-06-10
17,Orthodox Pentecost,Many Christians in Romania celebrate the Pentecost (Rusalii or Rusaliile) public holiday, also known as Whitsunday or Whit Sunday.,2021-06-20
18,Orthodox Pentecost Monday,Many Christians celebrate the Whit Monday (Rusalii or Rusaliile) public holiday in Romania.,2021-06-21
19,Flag Day,Romania’s Flag Day (Ziua Tricolorului) is an annual observance on June 26.,2021-06-26
20,National Anthem Day,Romania’s Anthem Day (Ziua Imnului Național) is an annual observance on July 29.,2021-07-29
21,St Mary's Day,The feast day of the Assumption of Mary is a national holiday in Romania on August 15 every year.,2021-08-15
22,Halloween,Some places in Romania, including in parts of Transylvania, have special Halloween events inspired by the Dracula theme on October 31.,2021-10-31
23,St Andrew's Day,St Andrew’s Day (Ziua Sfântului Andrei) is a national holiday in Romania on November 30 every year.,2021-11-30
24,National holiday,National Day in Romania, also called Unification Day, is an annual public holiday to remember when the country’s provinces became united on December 1, 1918.,2021-12-01
25,Constitution Day,Romania’s Constitution Day is observed on December 8 every year.,2021-12-08
26,Christmas Eve,Christmas Eve, or the day before Christmas Day, falls on December 24 every year in Romania.,2021-12-24
27,Christmas Day,Christmas Day is a Christian holiday to celebrate Jesus Christ’s birth in Romania and falls on December 25 every year.,2021-12-25
28,Second day of Christmas,The second day of Christmas falls on December 26 and is part of a two-day Christian holiday in Romania to celebrate Jesus Christ’s birth.,2021-12-26
29,New Year's Eve,Many Romanians celebrate New Year’s Eve (Revelion) on December 31, the last day of the year in the Gregorian calendar.,2021-12-31
